latitude,longitude,address,city,zip,township,propertyclasscode,neighborhoodid,lasttransferred,sidewalks,value,ownerstate,ownerzip
39.883206,-86.085364,4854 E 71ST ST,INDIANAPOLIS,46220,8,511,817077170,8/21/2008,N,246400,IN,46220
39.877214,-86.146015,6675 N COLLEGE AV,INDIANAPOLIS,46220,8,550,824272150,6/20/2017,N,140200,IN,46220
39.878909,-86.111849,6709 N OAKLAND AV,INDIANAPOLIS,46220,8,510,801765120,,N,261100,IN,46220
39.856678,-86.093998,5667 BROWNSTONE DR,INDIANAPOLIS,46220,8,550,801972136,12/19/2017,N,131200,IN,46220
39.857068,-86.093746,5673 BROWNSTONE DR,INDIANAPOLIS,46220,8,550,801972136,3/11/2019,N,121200,IN,46220
39.85624,-86.114027,5638 N PARKER AV,INDIANAPOLIS,46220,8,510,802166150,1/10/2017,N,185400,IN,46220
39.875972,-86.081535,5150 E 65TH ST,INDIANAPOLIS,46220,8,345,8350904,,N,633200,IN,46220
39.880508,-86.065634,6815 LAKEKNOLL DR,INDIANAPOLIS,46220,4,510,403782138,,N,145200,IN,46220
39.879955,-86.065638,6801 LAKEKNOLL DR,INDIANAPOLIS,46220,4,510,403782138,,N,165800,IN,46220
39.876929,-86.065825,6529 LAKEKNOLL DR,INDIANAPOLIS,46220,4,510,403782138,7/7/2010,N,170400,IN,46220
39.869792,-86.057997,6303 MYRTLE LN,INDIANAPOLIS,46220,4,510,435082150,11/14/2012,N,324100,IN,46220
39.871966,-86.057309,6349 CARDINAL LN,INDIANAPOLIS,46220,4,510,435082150,,N,249700,IN,46220
39.871988,-86.056438,6422 CARDINAL LN,INDIANAPOLIS,46220,4,510,435082150,12/8/2014,N,267300,IN,46220
39.866487,-86.057614,6360 CHERBOURG DR,INDIANAPOLIS,46220,4,510,404582138,,N,496800,IN,46220
39.863959,-86.0597,5960 CALAIS CT,INDIANAPOLIS,46220,4,510,404582138,6/7/2016,N,495300,IN,46220
39.864249,-86.058521,6326 CALAIS DR,INDIANAPOLIS,46220,4,510,404582138,,N,422500,IN,46220
39.865166,-86.054555,6528 CALAIS CI,INDIANAPOLIS,46220,4,510,404582138,4/5/2017,N,370000,IN,46220
39.856709,-86.077822,5694 E FALL CREEK PKWY N DR,INDIANAPOLIS,46220,4,510,404182174,,N,472700,IN,46220
39.866611,-86.130601,6139 KINGSLEY DR,INDIANAPOLIS,46220,8,510,802181205,9/4/2008,N,191300,IN,46220
39.877481,-86.149049,6527 RIVERVIEW DR,INDIANAPOLIS,46220,8,510,802488202,12/11/2014,N,205100,IN,46220
39.880495,-86.06088,6828 GROSVENOR PL,INDIANAPOLIS,46220,4,510,403382131,2/10/2010,N,228800,IN,46220
39.876704,-86.063523,6040 E 65TH PL,INDIANAPOLIS,46220,4,510,403382131,,N,265900,IN,46220
39.8827,-86.061154,7021 GROSVENOR PL,INDIANAPOLIS,46220,4,510,403382131,,N,343400,IN,46220
39.882101,-86.136849,1233 WESTFIELD CT,INDIANAPOLIS,46220,8,510,802376225,1/18/2010,N,328300,IN,46220
39.882486,-86.076066,7056 STEINMEIER DR W,INDIANAPOLIS,46220,8,510,801180110,1/11/2011,N,191800,IN,46220
39.883263,-86.110592,3238 E 71ST ST,INDIANAPOLIS,46220,8,510,801665125,,N,172600,IN,46220
39.870545,-86.075224,6260 GREEN LEAVES RD,INDIANAPOLIS,46220,8,510,801166130,12/30/2010,N,291700,IN,46220
39.874856,-86.075628,5453 ASHURST ST,INDIANAPOLIS,46220,8,510,801166130,12/24/2008,N,234100,IN,46220
39.850786,-86.116303,5358 SHOREWOOD DR,INDIANAPOLIS,46220,8,500,802069145,5/26/2017,N,28400,IN,46220
39.879793,-86.103209,6808 N SHERMAN DR,INDIANAPOLIS,46220,8,510,801766150,,N,254100,IN,46220
39.882458,-86.076065,7055 STEINMEIER DR W,INDIANAPOLIS,46220,8,510,801180110,8/29/2018,N,218600,IN,46220
39.882703,-86.07719,5392 STEINMEIER DR N,INDIANAPOLIS,46220,8,510,801180110,12/16/2014,N,173500,IN,46220
39.878415,-86.05503,6636 CREEKSIDE LN,INDIANAPOLIS,46220,4,510,403582135,,N,284200,IN,46220
39.877766,-86.058109,6322 LANDS END LN,INDIANAPOLIS,46220,4,510,403582135,8/8/2012,N,331600,IN,46220
39.877426,-86.056232,6619 EDEN ROC CREST,INDIANAPOLIS,46220,4,510,403582135,9/17/2013,N,392500,IN,46220
39.871157,-86.126902,6303 EVANSTON AV,INDIANAPOLIS,46220,8,500,802274155,9/16/2015,N,10900,IN,46220
39.869951,-86.124387,6240 MC KINLEY CT,INDIANAPOLIS,46220,8,510,802274155,5/5/2017,N,181300,IN,46220
39.871436,-86.122259,6300 N KEYSTONE AV,INDIANAPOLIS,46220,8,510,802274155,9/21/2018,N,169200,IN,46220
39.8719,-86.123295,6308 DOUGLAS RD,INDIANAPOLIS,46220,8,510,802274155,,N,115200,IN,46220
39.872186,-86.125537,6311 MAPLE DR,INDIANAPOLIS,46220,8,510,802274155,5/21/2018,N,179000,IN,46220
39.875118,-86.12334,2241 PAMELA DR,INDIANAPOLIS,46220,8,510,802274155,,N,160700,IN,46220
39.873799,-86.124116,2230 DOUGLAS RD,INDIANAPOLIS,46220,8,510,802274155,,N,169700,IN,46220
39.851112,-86.1327,5388 PRIMROSE AV,INDIANAPOLIS,46220,8,510,802079190,4/18/2018,N,190200,IN,46220
39.850333,-86.132707,5347 PRIMROSE AV,INDIANAPOLIS,46220,8,510,802079190,11/18/2009,N,144200,IN,46220
